state,year,mean_ndvi
Bihar,2000,0.4432
Chhattisgarh,2000,0.5032
Jharkhand,2000,0.4685
Madhya Pradesh,2000,0.4101
Uttar Pradesh,2000,0.431
Uttarakhand,2000,0.4969
Andaman and Nicobar,2000,0.7839
Andhra Pradesh,2000,0.4601
Assam,2000,0.5792
Delhi,2000,0.328
Goa,2000,0.6318
Gujarat,2000,0.3039
Haryana,2000,0.4117
Himachal Pradesh,2000,0.3486
Karnataka,2000,0.4568
Kerala,2000,0.7224
Lakshadweep,2000,0.6202
Maharashtra,2000,0.425
Manipur,2000,0.723
Meghalaya,2000,0.6838
Mizoram,2000,0.7824
Nagaland,2000,0.7288
Orissa,2000,0.5238
Punjab,2000,0.4955
Rajasthan,2000,0.2308
Sikkim,2000,0.3845
Tamil Nadu,2000,0.4848
Tripura,2000,0.7129
West Bengal,2000,0.4938
Arunachal Pradesh,2000,0.7109
Chandigarh,2000,0.4125
Dadra and Nagar Haveli,2000,0.4946
Daman and Diu,2000,0.3699
Puducherry,2000,0.5423
Bihar,2001,0.452
Chhattisgarh,2001,0.4808
Jharkhand,2001,0.4637
Madhya Pradesh,2001,0.4036
Uttar Pradesh,2001,0.4363
Uttarakhand,2001,0.483
Andaman and Nicobar,2001,0.8038
Andhra Pradesh,2001,0.4471
Assam,2001,0.5825
Delhi,2001,0.3352
Goa,2001,0.603
Gujarat,2001,0.3241
Haryana,2001,0.4234
Himachal Pradesh,2001,0.3362
Karnataka,2001,0.4343
Kerala,2001,0.7158
Lakshadweep,2001,0.5933
Maharashtra,2001,0.407
Manipur,2001,0.7236
Meghalaya,2001,0.707
Mizoram,2001,0.7838
Nagaland,2001,0.7367
Orissa,2001,0.5009
Punjab,2001,0.5
Rajasthan,2001,0.2516
Sikkim,2001,0.4222
Tamil Nadu,2001,0.4894
Tripura,2001,0.7029
West Bengal,2001,0.493
Arunachal Pradesh,2001,0.7464
Chandigarh,2001,0.3962
Dadra and Nagar Haveli,2001,0.4693
Daman and Diu,2001,0.3891
Puducherry,2001,0.5355
Bihar,2002,0.4717
Chhattisgarh,2002,0.4909
Jharkhand,2002,0.4718
Madhya Pradesh,2002,0.3983
Uttar Pradesh,2002,0.4383
Uttarakhand,2002,0.4826
Andaman and Nicobar,2002,0.8043
Andhra Pradesh,2002,0.4464
Assam,2002,0.5976
Delhi,2002,0.3271
Goa,2002,0.6299
Gujarat,2002,0.3106
Haryana,2002,0.4057
Himachal Pradesh,2002,0.3366
Karnataka,2002,0.4388
Kerala,2002,0.7255
Lakshadweep,2002,0.6462
Maharashtra,2002,0.4158
Manipur,2002,0.7443
Meghalaya,2002,0.7023
Mizoram,2002,0.7949
Nagaland,2002,0.7519
Orissa,2002,0.5134
Punjab,2002,0.4895
Rajasthan,2002,0.2099
Sikkim,2002,0.4222
Tamil Nadu,2002,0.4732
Tripura,2002,0.7124
West Bengal,2002,0.508
Arunachal Pradesh,2002,0.7406
Chandigarh,2002,0.3922
Dadra and Nagar Haveli,2002,0.4736
Daman and Diu,2002,0.3955
Puducherry,2002,0.5343
Bihar,2003,0.4712
Chhattisgarh,2003,0.4987
Jharkhand,2003,0.4882
Madhya Pradesh,2003,0.4361
Uttar Pradesh,2003,0.4631
Uttarakhand,2003,0.494
Andaman and Nicobar,2003,0.7975
Andhra Pradesh,2003,0.4408
Assam,2003,0.5962
Delhi,2003,0.3587
Goa,2003,0.611
Gujarat,2003,0.3451
Haryana,2003,0.4526
Himachal Pradesh,2003,0.3459
Karnataka,2003,0.4159
Kerala,2003,0.7246
Lakshadweep,2003,0.6198
Maharashtra,2003,0.4137
Manipur,2003,0.728
Meghalaya,2003,0.7225
Mizoram,2003,0.7879
Nagaland,2003,0.7447
Orissa,2003,0.5085
Punjab,2003,0.5149
Rajasthan,2003,0.2595
Sikkim,2003,0.4303
Tamil Nadu,2003,0.4646
Tripura,2003,0.7105
West Bengal,2003,0.511
Arunachal Pradesh,2003,0.733
Chandigarh,2003,0.4202
